零售品类,城市等级,企业数量,平均经营年限(年),最低经营年限(年),最高经营年限(年),平均月营收(万元),平均信用评分
便利店,一线城市,87,7.67,0.0,20.0,287.54,625.61
便利店,三线及以下,112,8.64,1.0,25.0,304.76,635.02
便利店,二线城市,130,8.67,1.0,30.0,355.79,628.91
便利店,新一线城市,111,8.09,0.0,20.0,290.81,653.27
家电零售,一线城市,72,7.6,1.0,30.0,359.72,601.23
家电零售,三线及以下,121,8.03,1.0,25.0,287.02,626.82
家电零售,二线城市,144,8.09,1.0,25.0,343.12,656.88
家电零售,新一线城市,107,7.87,1.0,25.0,318.52,650.7
文具零售,一线城市,63,7.89,0.0,15.0,295.23,626.33
文具零售,三线及以下,142,8.22,0.0,30.0,296.74,601.42
文具零售,二线城市,117,7.96,1.0,30.0,310.74,620.19
文具零售,新一线城市,99,9.53,1.0,30.0,329.08,640.81
服饰零售,一线城市,60,8.24,1.0,30.0,246.46,600.83
服饰零售,三线及以下,135,8.07,1.0,15.0,331.76,638.94
服饰零售,二线城市,134,8.82,0.0,25.0,325.98,672.57
服饰零售,新一线城市,109,9.09,1.0,30.0,344.02,596.76
生鲜零售,一线城市,50,8.04,1.0,15.0,270.95,642.69
生鲜零售,三线及以下,108,8.93,1.0,30.0,365.58,622.82
生鲜零售,二线城市,134,8.66,1.0,30.0,326.22,633.91
生鲜零售,新一线城市,112,8.79,1.0,15.0,290.83,630.76
综合商超,一线城市,60,8.02,1.0,25.0,224.24,615.02
综合商超,三线及以下,138,7.79,1.0,20.0,292.39,618.93
综合商超,二线城市,154,9.07,1.0,30.0,313.13,629.54
综合商超,新一线城市,113,8.41,0.0,30.0,339.1,622.29
美妆零售,一线城市,70,7.22,0.0,15.0,272.35,636.71
美妆零售,三线及以下,116,8.3,1.0,30.0,328.23,653.49
美妆零售,二线城市,157,7.93,1.0,15.0,325.5,629.95
美妆零售,新一线城市,75,7.91,1.0,20.0,307.84,661.64
