零售品类,城市等级,企业数量,平均信用评分,最低信用评分,最高信用评分
便利店,一线城市,87,625.61,150.0,940.0
便利店,三线及以下,112,635.02,300.0,1100.0
便利店,二线城市,130,628.91,300.0,1100.0
便利店,新一线城市,111,653.27,301.0,940.0
家电零售,一线城市,72,601.23,150.0,927.0
家电零售,三线及以下,121,626.82,150.0,1100.0
家电零售,二线城市,144,656.88,307.0,1050.0
家电零售,新一线城市,107,650.7,150.0,949.0
文具零售,一线城市,63,626.33,304.0,944.0
文具零售,三线及以下,142,601.42,304.0,1050.0
文具零售,二线城市,117,620.19,150.0,950.0
文具零售,新一线城市,99,640.81,180.0,945.0
服饰零售,一线城市,60,600.83,180.0,937.0
服饰零售,三线及以下,135,638.94,150.0,947.0
服饰零售,二线城市,134,672.57,300.0,1050.0
服饰零售,新一线城市,109,596.76,150.0,1100.0
生鲜零售,一线城市,50,642.69,320.0,940.0
生鲜零售,三线及以下,108,622.82,300.0,1100.0
生鲜零售,二线城市,134,633.91,150.0,1100.0
生鲜零售,新一线城市,112,630.76,312.0,950.0
综合商超,一线城市,60,615.02,305.0,938.0
综合商超,三线及以下,138,618.93,150.0,1100.0
综合商超,二线城市,154,629.54,315.0,1100.0
综合商超,新一线城市,113,622.29,301.0,938.0
美妆零售,一线城市,70,636.71,302.0,1100.0
美妆零售,三线及以下,116,653.49,301.0,1050.0
美妆零售,二线城市,157,629.95,150.0,947.0
美妆零售,新一线城市,75,661.64,150.0,1100.0
