城市等级,零售品类,企业总数,贷款通过数,通过率(%)
一线城市,便利店,87,0,0.0
一线城市,家电零售,72,0,0.0
一线城市,文具零售,63,0,0.0
一线城市,服饰零售,60,0,0.0
一线城市,生鲜零售,50,0,0.0
一线城市,综合商超,60,0,0.0
一线城市,美妆零售,70,0,0.0
三线及以下,便利店,112,0,0.0
三线及以下,家电零售,121,0,0.0
三线及以下,文具零售,142,0,0.0
三线及以下,服饰零售,135,0,0.0
三线及以下,生鲜零售,108,0,0.0
三线及以下,综合商超,138,0,0.0
三线及以下,美妆零售,116,0,0.0
二线城市,便利店,130,0,0.0
二线城市,家电零售,144,0,0.0
二线城市,文具零售,117,0,0.0
二线城市,服饰零售,134,0,0.0
二线城市,生鲜零售,134,0,0.0
二线城市,综合商超,154,0,0.0
二线城市,美妆零售,157,0,0.0
新一线城市,便利店,111,0,0.0
新一线城市,家电零售,107,0,0.0
新一线城市,文具零售,99,0,0.0
新一线城市,服饰零售,109,0,0.0
新一线城市,生鲜零售,112,0,0.0
新一线城市,综合商超,113,0,0.0
新一线城市,美妆零售,75,0,0.0
