城市等级,零售品类,企业数量,平均月营收(万元),最低月营收(万元),最高月营收(万元),平均月成本(万元),平均利润(万元)
一线城市,便利店,87,287.54,11.7,962.4,213.86,73.68
一线城市,家电零售,72,359.72,23.4,5000.0,257.91,101.81
一线城市,文具零售,63,295.23,28.9,989.5,214.05,81.18
一线城市,服饰零售,60,246.46,11.3,797.1,180.96,65.5
一线城市,生鲜零售,50,270.95,11.9,889.9,191.95,79.0
一线城市,综合商超,60,224.24,13.6,996.2,159.44,64.80000000000001
一线城市,美妆零售,70,272.35,11.9,948.6,196.22,76.13000000000002
三线及以下,便利店,112,304.76,0.0,998.4,218.62,86.13999999999999
三线及以下,家电零售,121,287.02,19.0,982.0,206.03,80.98999999999998
三线及以下,文具零售,142,296.74,0.0,981.0,218.25,78.49000000000001
三线及以下,服饰零售,135,331.76,10.3,1200.0,238.82,92.94
三线及以下,生鲜零售,108,365.58,12.7,5000.0,265.11,100.46999999999997
三线及以下,综合商超,138,292.39,17.1,964.3,213.35,79.03999999999999
三线及以下,美妆零售,116,328.23,13.8,992.8,245.18,83.05000000000001
二线城市,便利店,130,355.79,12.5,5000.0,261.8,93.99000000000001
二线城市,家电零售,144,343.12,12.3,5000.0,249.8,93.32
二线城市,文具零售,117,310.74,15.6,998.2,225.2,85.54000000000002
二线城市,服饰零售,134,325.98,11.9,984.5,234.29,91.69000000000003
二线城市,生鲜零售,134,326.22,11.8,966.5,239.49,86.73000000000002
二线城市,综合商超,154,313.13,12.4,993.2,226.79,86.34
二线城市,美妆零售,157,325.5,0.0,988.7,232.34,93.16
新一线城市,便利店,111,290.81,16.4,983.3,212.77,78.03999999999999
新一线城市,家电零售,107,318.52,23.4,966.0,229.57,88.94999999999999
新一线城市,文具零售,99,329.08,10.3,5000.0,232.62,96.45999999999998
新一线城市,服饰零售,109,344.02,17.1,996.8,246.66,97.35999999999999
新一线城市,生鲜零售,112,290.83,0.0,993.2,215.12,75.70999999999998
新一线城市,综合商超,113,339.1,0.0,5000.0,246.14,92.96000000000004
新一线城市,美妆零售,75,307.84,12.7,972.0,228.72,79.11999999999998
