企业ID,行业名称,所在城市,城市等级,零售品类,企业信用评分,月均营收（万元）,月均成本（万元）,员工人数,是否通过贷款,利润(万元)
RETL-202512-052798,零售行业,泉州,三线及以下,生鲜零售,393.0,704.6,535.4,98,通过,169.20000000000005
RETL-202512-165395,零售行业,保定,三线及以下,服饰零售,369.0,310.9,243.7,39,通过,67.19999999999999
RETL-202512-088293,零售行业,大连,二线城市,便利店,300.0,379.2,315.7,41,通过,63.5
RETL-202512-916510,零售行业,厦门,二线城市,便利店,335.0,58.2,49.4,58,通过,8.800000000000004
RETL-202512-078934,零售行业,青岛,二线城市,便利店,389.0,232.8,194.3,49,通过,38.5
RETL-202512-198650,零售行业,广州,一线城市,生鲜零售,320.0,101.1,83.4,7,通过,17.69999999999999
RETL-202512-546421,零售行业,阜阳,三线及以下,生鲜零售,301.0,231.6,191.7,26,拒绝,39.900000000000006
RETL-202512-257022,零售行业,保定,三线及以下,便利店,346.0,44.6,27.5,43,拒绝,17.1
RETL-202512-450654,零售行业,青岛,二线城市,服饰零售,388.0,154.3,114.7,20,通过,39.60000000000001
RETL-202512-859700,零售行业,北京,一线城市,便利店,362.0,368.4,286.0,42,通过,82.39999999999998
RETL-202512-290802,零售行业,天津,新一线城市,综合商超,319.0,65.4,43.9,32,通过,21.500000000000007
RETL-202512-853030,零售行业,常州,三线及以下,美妆零售,360.0,293.4,222.7,56,通过,70.69999999999999
RETL-202512-037624,零售行业,邯郸,三线及以下,美妆零售,312.0,429.7,264.2,31,通过,165.5
RETL-202512-458190,零售行业,上海,一线城市,服饰零售,300.0,123.7,93.3,25,拒绝,30.400000000000006
RETL-202512-560192,零售行业,宁波,二线城市,便利店,349.0,303.1,217.2,60,通过,85.90000000000003
RETL-202512-398133,零售行业,泉州,三线及以下,便利店,312.0,302.6,200.0,23,通过,102.60000000000002
RETL-202512-753761,零售行业,上海,一线城市,美妆零售,312.0,398.5,279.5,27,通过,119.0
RETL-202512-123579,零售行业,常州,三线及以下,家电零售,327.0,700.0,476.0,88,通过,224.0
RETL-202512-382661,零售行业,潍坊,三线及以下,服饰零售,381.0,780.6,609.3,120,通过,171.30000000000007
RETL-202512-682125,零售行业,深圳,一线城市,美妆零售,377.0,213.6,159.6,48,通过,54.0
RETL-202512-767287,零售行业,济南,二线城市,美妆零售,369.0,92.2,62.1,21,通过,30.1
RETL-202512-775803,零售行业,苏州,新一线城市,生鲜零售,363.0,355.4,288.6,21,拒绝,66.79999999999995
RETL-202512-907076,零售行业,广州,一线城市,服饰零售,334.0,659.7,399.0,110,通过,260.70000000000005
RETL-202512-469021,零售行业,深圳,一线城市,综合商超,364.0,16.4,12.0,32,通过,4.399999999999999
RETL-202512-806675,零售行业,上海,一线城市,美妆零售,312.0,93.7,62.4,48,通过,31.300000000000004
RETL-202512-107070,零售行业,深圳,一线城市,服饰零售,331.0,439.7,351.5,14,拒绝,88.19999999999999
RETL-202512-030086,零售行业,常州,三线及以下,家电零售,350.0,399.0,267.5,17,通过,131.5
RETL-202512-532267,零售行业,泉州,三线及以下,美妆零售,310.0,171.2,131.3,23,通过,39.89999999999998
RETL-202512-502782,零售行业,南京,新一线城市,生鲜零售,359.0,188.0,159.3,29,通过,28.69999999999999
RETL-202512-860415,零售行业,宁波,二线城市,生鲜零售,396.0,266.3,211.5,34,通过,54.80000000000001
RETL-202512-658798,零售行业,西安,新一线城市,文具零售,396.0,189.3,133.6,7,通过,55.70000000000002
RETL-202512-027281,零售行业,泉州,三线及以下,家电零售,344.0,29.1,17.7,55,通过,11.400000000000002
RETL-202512-125427,零售行业,成都,新一线城市,文具零售,375.0,517.4,334.7,71,通过,182.7
RETL-202512-950495,零售行业,厦门,二线城市,综合商超,362.0,266.0,179.0,36,通过,87.0
RETL-202512-835980,零售行业,济南,二线城市,生鲜零售,345.0,708.1,435.8,109,通过,272.3
RETL-202512-132305,零售行业,武汉,新一线城市,综合商超,305.0,214.4,166.4,15,通过,48.0
RETL-202512-864077,零售行业,厦门,二线城市,服饰零售,302.0,966.9,581.7,73,通过,385.19999999999993
RETL-202512-521230,零售行业,大连,二线城市,家电零售,381.0,750.5,513.2,96,通过,237.29999999999995
RETL-202512-569432,零售行业,济南,二线城市,美妆零售,327.0,43.9,29.1,58,通过,14.799999999999997
RETL-202512-861905,零售行业,杭州,新一线城市,便利店,347.0,347.6,215.7,49,通过,131.90000000000003
RETL-202512-814657,零售行业,长沙,二线城市,综合商超,317.0,64.0,39.2,45,拒绝,24.799999999999997
RETL-202512-356182,零售行业,潍坊,三线及以下,生鲜零售,364.0,302.0,242.1,33,通过,59.900000000000006
RETL-202512-628229,零售行业,保定,三线及以下,文具零售,332.0,74.4,59.9,16,通过,14.500000000000007
RETL-202512-186795,零售行业,上海,一线城市,文具零售,376.0,278.1,223.1,53,通过,55.00000000000003
RETL-202512-611446,零售行业,杭州,新一线城市,综合商超,344.0,943.5,707.5,110,通过,236.0
RETL-202512-243499,零售行业,哈尔滨,二线城市,综合商超,329.0,95.4,61.0,47,通过,34.400000000000006
RETL-202512-226740,零售行业,杭州,新一线城市,文具零售,368.0,118.4,80.8,43,通过,37.60000000000001
RETL-202512-773012,零售行业,潍坊,三线及以下,综合商超,354.0,636.8,479.8,80,通过,156.99999999999994
RETL-202512-198388,零售行业,盐城,三线及以下,便利店,334.0,688.8,461.7,72,通过,227.09999999999997
RETL-202512-388914,零售行业,成都,新一线城市,生鲜零售,342.0,35.4,23.5,50,通过,11.899999999999999
RETL-202512-575063,零售行业,潍坊,三线及以下,文具零售,379.0,349.3,293.9,8,通过,55.400000000000034
RETL-202512-547623,零售行业,天津,新一线城市,服饰零售,372.0,161.2,125.9,31,通过,35.29999999999998
RETL-202512-924830,零售行业,上海,一线城市,美妆零售,394.0,196.9,119.9,20,通过,77.0
RETL-202512-909214,零售行业,哈尔滨,二线城市,文具零售,332.0,31.9,25.3,17,拒绝,6.599999999999998
RETL-202512-455541,零售行业,成都,新一线城市,家电零售,392.0,714.8,558.2,110,通过,156.5999999999999
RETL-202512-920495,零售行业,北京,一线城市,服饰零售,318.0,163.1,118.7,52,通过,44.39999999999999
RETL-202512-136713,零售行业,苏州,新一线城市,文具零售,387.0,371.4,303.5,49,通过,67.89999999999998
RETL-202512-714366,零售行业,常州,三线及以下,家电零售,316.0,229.9,191.6,52,通过,38.30000000000001
RETL-202512-694286,零售行业,沈阳,二线城市,美妆零售,344.0,778.4,560.9,102,通过,217.5
RETL-202512-980427,零售行业,邯郸,三线及以下,文具零售,340.0,263.4,186.3,21,通过,77.09999999999997
RETL-202512-531895,零售行业,宁波,二线城市,文具零售,312.0,699.5,423.2,75,通过,276.3
RETL-202512-867507,零售行业,济南,二线城市,文具零售,359.0,460.0,362.5,7,通过,97.5
RETL-202512-414799,零售行业,天津,新一线城市,便利店,356.0,213.6,148.6,51,通过,65.0
RETL-202512-086611,零售行业,大连,二线城市,文具零售,338.0,62.9,48.4,29,通过,14.5
RETL-202512-049116,零售行业,上海,一线城市,综合商超,333.0,224.3,137.1,27,通过,87.20000000000002
RETL-202512-902909,零售行业,哈尔滨,二线城市,综合商超,318.0,336.8,247.4,22,通过,89.4
RETL-202512-244086,零售行业,济南,二线城市,家电零售,314.0,289.2,203.8,21,通过,85.39999999999998
RETL-202512-578826,零售行业,北京,一线城市,综合商超,305.0,46.4,34.1,17,通过,12.299999999999997
RETL-202512-332928,零售行业,济南,二线城市,生鲜零售,370.0,267.2,186.4,42,拒绝,80.79999999999998
RETL-202512-247299,零售行业,保定,三线及以下,文具零售,393.0,775.8,612.1,111,通过,163.69999999999993
RETL-202512-273417,零售行业,邯郸,三线及以下,服饰零售,356.0,81.2,66.6,50,通过,14.600000000000009
RETL-202512-368748,零售行业,深圳,一线城市,家电零售,309.0,381.8,251.2,9,通过,130.60000000000002
RETL-202512-411759,零售行业,阜阳,三线及以下,文具零售,382.0,250.1,179.9,40,拒绝,70.19999999999999
RETL-202512-382823,零售行业,唐山,三线及以下,美妆零售,367.0,53.7,44.8,22,通过,8.900000000000006
RETL-202512-008589,零售行业,广州,一线城市,生鲜零售,395.0,588.8,490.0,65,拒绝,98.79999999999995
RETL-202512-792816,零售行业,大连,二线城市,生鲜零售,373.0,316.3,236.9,57,通过,79.4
RETL-202512-794768,零售行业,济南,二线城市,综合商超,321.0,300.8,241.6,39,通过,59.20000000000002
RETL-202512-067256,零售行业,潍坊,三线及以下,服饰零售,372.0,345.1,254.1,60,通过,91.00000000000003
RETL-202512-649331,零售行业,盐城,三线及以下,文具零售,391.0,174.0,143.0,34,通过,31.0
RETL-202512-737781,零售行业,苏州,新一线城市,服饰零售,308.0,306.8,203.1,20,拒绝,103.70000000000002
RETL-202512-922072,零售行业,潍坊,三线及以下,便利店,365.0,266.4,165.9,13,拒绝,100.49999999999997
RETL-202512-412654,零售行业,天津,新一线城市,服饰零售,371.0,545.3,438.3,68,通过,106.99999999999994
RETL-202512-553113,零售行业,天津,新一线城市,服饰零售,397.0,216.4,154.9,51,通过,61.5
RETL-202512-760779,零售行业,沈阳,二线城市,综合商超,352.0,184.0,139.2,17,通过,44.80000000000001
RETL-202512-724119,零售行业,北京,一线城市,综合商超,326.0,193.3,145.7,22,通过,47.60000000000002
RETL-202512-268509,零售行业,盐城,三线及以下,美妆零售,348.0,55.2,41.3,49,通过,13.900000000000006
RETL-202512-501838,零售行业,盐城,三线及以下,便利店,318.0,213.6,147.6,33,通过,66.0
RETL-202512-427575,零售行业,盐城,三线及以下,便利店,334.0,120.6,89.3,23,通过,31.299999999999997
RETL-202512-717478,零售行业,保定,三线及以下,美妆零售,346.0,688.8,567.8,78,通过,121.0
RETL-202512-321230,零售行业,济南,二线城市,综合商超,343.0,368.0,260.3,23,通过,107.69999999999999
RETL-202512-344761,零售行业,武汉,新一线城市,生鲜零售,364.0,152.7,99.1,36,通过,53.599999999999994
RETL-202512-543576,零售行业,长沙,二线城市,美妆零售,354.0,303.9,216.1,19,通过,87.79999999999998
RETL-202512-603130,零售行业,青岛,二线城市,综合商超,353.0,219.1,153.7,37,通过,65.4
RETL-202512-056035,零售行业,沈阳,二线城市,便利店,335.0,162.5,130.1,28,通过,32.400000000000006
RETL-202512-099770,零售行业,沈阳,二线城市,综合商超,336.0,196.3,156.1,8,通过,40.20000000000002
RETL-202512-587995,零售行业,深圳,一线城市,文具零售,304.0,571.7,389.1,90,通过,182.60000000000002
RETL-202512-056121,零售行业,成都,新一线城市,服饰零售,323.0,139.8,97.6,20,通过,42.20000000000002
RETL-202512-290199,零售行业,上海,一线城市,便利店,322.0,275.1,226.1,41,通过,49.00000000000003
RETL-202512-859859,零售行业,邯郸,三线及以下,生鲜零售,387.0,942.3,625.2,74,拒绝,317.0999999999999
RETL-202512-369751,零售行业,北京,一线城市,便利店,372.0,49.4,35.8,6,拒绝,13.600000000000001
RETL-202512-469998,零售行业,青岛,二线城市,综合商超,380.0,166.3,107.4,52,拒绝,58.900000000000006
RETL-202512-132806,零售行业,长沙,二线城市,生鲜零售,150.0,360.3,289.5,60,通过,70.80000000000001
RETL-202512-127559,零售行业,西安,新一线城市,家电零售,306.0,398.5,272.7,44,通过,125.80000000000001
RETL-202512-255430,零售行业,哈尔滨,二线城市,美妆零售,319.0,539.3,412.7,77,拒绝,126.59999999999997
RETL-202512-219050,零售行业,长沙,二线城市,美妆零售,344.0,293.6,210.9,58,拒绝,82.70000000000002
RETL-202512-029399,零售行业,常州,三线及以下,生鲜零售,332.0,87.0,53.9,27,通过,33.1
RETL-202512-285119,零售行业,宁波,二线城市,服饰零售,323.0,911.2,611.7,102,通过,299.5
RETL-202512-469070,零售行业,青岛,二线城市,生鲜零售,392.0,528.8,415.3,84,拒绝,113.49999999999994
RETL-202512-008916,零售行业,苏州,新一线城市,家电零售,150.0,233.0,148.4,44,通过,84.6
RETL-202512-321388,零售行业,北京,一线城市,综合商超,311.0,204.1,141.0,28,通过,63.099999999999994
RETL-202512-217194,零售行业,沈阳,二线城市,综合商超,385.0,580.2,370.0,117,通过,210.20000000000005
RETL-202512-694376,零售行业,苏州,新一线城市,文具零售,333.0,243.3,206.2,29,通过,37.10000000000002
RETL-202512-085479,零售行业,宁波,二线城市,美妆零售,150.0,614.8,384.6,68,通过,230.19999999999993
RETL-202512-927950,零售行业,天津,新一线城市,家电零售,301.0,101.7,80.1,10,通过,21.60000000000001
RETL-202512-018214,零售行业,武汉,新一线城市,综合商超,325.0,566.3,418.6,63,通过,147.69999999999993
RETL-202512-719806,零售行业,济南,二线城市,美妆零售,398.0,593.4,438.8,83,通过,154.59999999999997
RETL-202512-731568,零售行业,邯郸,三线及以下,美妆零售,370.0,35.5,22.5,49,通过,13.0
RETL-202512-814573,零售行业,常州,三线及以下,生鲜零售,353.0,259.7,195.8,33,通过,63.89999999999998
RETL-202512-254356,零售行业,重庆,新一线城市,服饰零售,396.0,816.7,590.2,86,通过,226.5
RETL-202512-023552,零售行业,北京,一线城市,文具零售,392.0,368.3,438.4,16,通过,-70.09999999999997
RETL-202512-608292,零售行业,上海,一线城市,便利店,392.0,291.3,232.1,17,通过,59.20000000000002
RETL-202512-632069,零售行业,重庆,新一线城市,生鲜零售,387.0,357.9,236.4,28,通过,121.49999999999997
RETL-202512-220128,零售行业,哈尔滨,二线城市,美妆零售,382.0,890.1,679.7,77,通过,210.39999999999998
RETL-202512-241528,零售行业,阜阳,三线及以下,服饰零售,317.0,314.2,232.7,39,通过,81.5
RETL-202512-085074,零售行业,邯郸,三线及以下,综合商超,363.0,396.0,324.3,27,通过,71.69999999999999
RETL-202512-210758,零售行业,成都,新一线城市,服饰零售,379.0,894.5,556.5,116,通过,338.0
RETL-202512-172747,零售行业,西安,新一线城市,便利店,343.0,522.7,352.7,102,通过,170.00000000000006
RETL-202512-208325,零售行业,唐山,三线及以下,生鲜零售,366.0,663.6,421.6,97,通过,242.0
RETL-202512-002974,零售行业,青岛,二线城市,便利店,338.0,732.1,605.7,62,通过,126.39999999999998
RETL-202512-499036,零售行业,杭州,新一线城市,服饰零售,301.0,678.6,544.4,65,拒绝,134.20000000000005
RETL-202512-439093,零售行业,潍坊,三线及以下,家电零售,369.0,289.1,214.9,32,通过,74.20000000000002
RETL-202512-708033,零售行业,济南,二线城市,家电零售,370.0,137.2,108.6,47,拒绝,28.599999999999994
RETL-202512-264414,零售行业,厦门,二线城市,家电零售,368.0,574.8,392.5,77,拒绝,182.29999999999995
RETL-202512-946688,零售行业,宁波,二线城市,便利店,343.0,393.7,240.1,8,通过,153.6
RETL-202512-590276,零售行业,上海,一线城市,家电零售,328.0,95.4,59.2,36,通过,36.2
RETL-202512-312711,零售行业,阜阳,三线及以下,美妆零售,311.0,731.0,606.8,107,通过,124.20000000000005
RETL-202512-148040,零售行业,阜阳,三线及以下,生鲜零售,331.0,183.6,143.4,49,通过,40.19999999999999
RETL-202512-954604,零售行业,大连,二线城市,美妆零售,374.0,208.7,141.2,7,通过,67.5
RETL-202512-168572,零售行业,天津,新一线城市,综合商超,389.0,157.1,128.9,8,通过,28.19999999999999
RETL-202512-993474,零售行业,苏州,新一线城市,便利店,367.0,390.3,298.8,37,通过,91.5
RETL-202512-668517,零售行业,广州,一线城市,家电零售,326.0,190.9,128.1,37,拒绝,62.80000000000001
RETL-202512-384857,零售行业,西安,新一线城市,生鲜零售,352.0,76.3,48.8,16,通过,27.5
RETL-202512-625891,零售行业,青岛,二线城市,家电零售,362.0,983.0,749.8,77,拒绝,233.20000000000005
RETL-202512-706923,零售行业,广州,一线城市,服饰零售,352.0,396.8,271.2,15,拒绝,125.60000000000002
RETL-202512-465499,零售行业,苏州,新一线城市,美妆零售,382.0,273.0,208.2,34,通过,64.80000000000001
RETL-202512-930315,零售行业,哈尔滨,二线城市,综合商超,317.0,343.9,251.5,56,通过,92.39999999999998
RETL-202512-470051,零售行业,广州,一线城市,美妆零售,302.0,463.2,286.7,29,拒绝,176.5
RETL-202512-097885,零售行业,西安,新一线城市,便利店,369.0,383.3,264.6,18,通过,118.69999999999999
RETL-202512-459400,零售行业,盐城,三线及以下,生鲜零售,339.0,171.8,130.8,19,通过,41.0
RETL-202512-532890,零售行业,大连,二线城市,生鲜零售,336.0,254.6,174.5,17,通过,80.1
RETL-202512-040367,零售行业,重庆,新一线城市,生鲜零售,398.0,83.7,70.7,56,通过,13.0
RETL-202512-175730,零售行业,阜阳,三线及以下,服饰零售,355.0,124.1,83.1,33,拒绝,41.0
RETL-202512-206262,零售行业,青岛,二线城市,文具零售,365.0,890.6,536.0,103,通过,354.6
RETL-202512-446050,零售行业,长沙,二线城市,家电零售,313.0,110.2,85.2,9,拒绝,25.0
RETL-202512-288357,零售行业,沈阳,二线城市,生鲜零售,313.0,229.8,147.1,60,通过,82.70000000000002
RETL-202512-328481,零售行业,西安,新一线城市,生鲜零售,325.0,54.7,43.8,53,通过,10.900000000000006
RETL-202512-820361,零售行业,宁波,二线城市,综合商超,355.0,297.1,193.6,38,拒绝,103.50000000000003
RETL-202512-863630,零售行业,济南,二线城市,综合商超,398.0,60.6,49.6,11,通过,11.0
RETL-202512-652269,零售行业,邯郸,三线及以下,文具零售,307.0,355.7,257.1,39,通过,98.59999999999997
