企业ID,行业名称,所在城市,城市等级,零售品类,企业信用评分,月均营收（万元）,月均成本（万元）,员工人数,是否通过贷款,利润(万元)
RETL-202512-435903,零售行业,常州,三线及以下,综合商超,702.0,142.3,104.6,13,通过,37.70000000000002
RETL-202512-277910,零售行业,宁波,二线城市,文具零售,895.0,218.0,163.3,55,通过,54.69999999999999
RETL-202512-126043,零售行业,深圳,一线城市,文具零售,941.0,37.6,31.0,32,通过,6.600000000000001
RETL-202512-420293,零售行业,邯郸,三线及以下,便利店,920.0,164.5,134.5,40,通过,30.0
RETL-202512-198348,零售行业,宁波,二线城市,文具零售,723.0,388.5,286.0,9,通过,102.5
RETL-202512-424575,零售行业,武汉,新一线城市,服饰零售,780.0,320.4,258.7,5,通过,61.69999999999999
RETL-202512-946341,零售行业,重庆,新一线城市,服饰零售,843.0,293.7,236.4,14,通过,57.29999999999998
RETL-202512-133637,零售行业,青岛,二线城市,便利店,846.0,99.6,75.4,48,通过,24.19999999999999
RETL-202512-991110,零售行业,保定,三线及以下,家电零售,832.0,115.6,73.0,42,通过,42.599999999999994
RETL-202512-765675,零售行业,唐山,三线及以下,服饰零售,729.0,1200.0,776.2,87,通过,423.79999999999995
RETL-202512-251878,零售行业,泉州,三线及以下,服饰零售,738.0,678.0,433.7,101,通过,244.3
RETL-202512-639107,零售行业,天津,新一线城市,服饰零售,926.0,388.6,242.8,10,通过,145.8
RETL-202512-673177,零售行业,济南,二线城市,家电零售,767.0,390.7,241.6,52,通过,149.1
RETL-202512-507828,零售行业,盐城,三线及以下,便利店,871.0,678.5,515.6,80,拒绝,162.89999999999998
RETL-202512-954590,零售行业,大连,二线城市,文具零售,856.0,49.2,32.3,54,通过,16.900000000000006
RETL-202512-247719,零售行业,潍坊,三线及以下,生鲜零售,904.0,308.0,220.8,55,通过,87.19999999999999
RETL-202512-723754,零售行业,阜阳,三线及以下,文具零售,828.0,66.7,44.4,22,通过,22.300000000000004
RETL-202512-389763,零售行业,宁波,二线城市,服饰零售,708.0,152.5,93.9,7,通过,58.599999999999994
RETL-202512-926366,零售行业,深圳,一线城市,美妆零售,872.0,311.5,209.3,24,通过,102.19999999999999
RETL-202512-364505,零售行业,保定,三线及以下,家电零售,859.0,186.2,134.9,50,拒绝,51.29999999999998
RETL-202512-195699,零售行业,常州,三线及以下,综合商超,783.0,237.8,185.0,52,拒绝,52.80000000000001
RETL-202512-347858,零售行业,杭州,新一线城市,便利店,913.0,185.1,117.5,47,通过,67.6
RETL-202512-602276,零售行业,大连,二线城市,便利店,729.0,12.5,10.0,14,通过,2.5
RETL-202512-363544,零售行业,苏州,新一线城市,生鲜零售,926.0,,,8,通过,
