企业ID,行业名称,所在城市,城市等级,零售品类,企业信用评分,月均营收（万元）,月均成本（万元）,员工人数,是否通过贷款,利润(万元)
RETL-202512-862390,零售行业,宁波,二线城市,服饰零售,612.0,399.0,274.5,37,通过,124.5
RETL-202512-799532,零售行业,唐山,三线及以下,综合商超,530.0,332.2,236.6,23,通过,95.6
RETL-202512-764837,零售行业,济南,二线城市,家电零售,583.0,218.9,168.6,17,通过,50.30000000000001
RETL-202512-190510,零售行业,武汉,新一线城市,生鲜零售,486.0,275.3,222.6,34,通过,52.70000000000002
RETL-202512-222817,零售行业,武汉,新一线城市,家电零售,494.0,702.9,482.7,69,通过,220.2
RETL-202512-310089,零售行业,常州,三线及以下,家电零售,668.0,550.4,379.9,81,通过,170.5
RETL-202512-357322,零售行业,济南,二线城市,家电零售,665.0,120.0,92.6,13,通过,27.400000000000006
RETL-202512-947131,零售行业,广州,一线城市,服饰零售,454.0,347.2,289.0,42,通过,58.19999999999999
RETL-202512-510280,零售行业,长沙,二线城市,家电零售,534.0,148.0,101.6,50,拒绝,46.400000000000006
RETL-202512-007266,零售行业,苏州,新一线城市,美妆零售,529.0,184.8,146.2,53,通过,38.60000000000002
RETL-202512-695776,零售行业,阜阳,三线及以下,综合商超,474.0,158.3,127.5,49,通过,30.80000000000001
RETL-202512-171516,零售行业,保定,三线及以下,综合商超,603.0,187.7,212.5,17,通过,-24.80000000000001
RETL-202512-261898,零售行业,盐城,三线及以下,生鲜零售,658.0,91.4,62.9,59,拒绝,28.500000000000007
RETL-202512-028347,零售行业,成都,新一线城市,综合商超,618.0,259.3,191.6,37,通过,67.70000000000002
RETL-202512-061997,零售行业,广州,一线城市,家电零售,637.0,80.8,65.5,30,通过,15.299999999999997
RETL-202512-933934,零售行业,阜阳,三线及以下,服饰零售,656.0,218.6,182.8,47,通过,35.79999999999998
RETL-202512-508427,零售行业,广州,一线城市,文具零售,593.0,846.0,536.0,87,拒绝,310.0
RETL-202512-377365,零售行业,武汉,新一线城市,家电零售,676.0,297.4,201.5,29,通过,95.89999999999998
RETL-202512-708735,零售行业,重庆,新一线城市,便利店,574.0,233.4,144.6,6,通过,88.80000000000001
RETL-202512-714008,零售行业,常州,三线及以下,文具零售,444.0,337.6,240.0,22,通过,97.60000000000002
RETL-202512-117522,零售行业,盐城,三线及以下,文具零售,441.0,86.3,61.7,26,通过,24.599999999999994
RETL-202512-800196,零售行业,保定,三线及以下,美妆零售,689.0,140.8,87.2,44,通过,53.60000000000001
RETL-202512-985802,零售行业,济南,二线城市,家电零售,405.0,306.1,219.8,46,通过,86.30000000000001
RETL-202512-284847,零售行业,沈阳,二线城市,文具零售,622.0,137.2,97.8,13,通过,39.39999999999999
RETL-202512-810647,零售行业,常州,三线及以下,服饰零售,685.0,50.3,36.3,24,通过,14.0
RETL-202512-183644,零售行业,阜阳,三线及以下,文具零售,605.0,329.0,227.1,41,通过,101.9
RETL-202512-774643,零售行业,广州,一线城市,家电零售,507.0,936.9,646.0,118,拒绝,290.9
RETL-202512-098039,零售行业,武汉,新一线城市,便利店,478.0,99.7,68.3,50,通过,31.400000000000006
RETL-202512-925271,零售行业,青岛,二线城市,生鲜零售,538.0,261.5,219.0,16,通过,42.5
RETL-202512-651458,零售行业,北京,一线城市,生鲜零售,500.0,316.1,254.3,19,通过,61.80000000000001
RETL-202512-906894,零售行业,潍坊,三线及以下,美妆零售,601.0,31.7,26.6,28,通过,5.099999999999998
RETL-202512-476103,零售行业,泉州,三线及以下,文具零售,497.0,437.7,349.4,58,通过,88.30000000000001
RETL-202512-475096,零售行业,邯郸,三线及以下,综合商超,514.0,373.6,265.4,22,通过,108.20000000000005
RETL-202512-707302,零售行业,武汉,新一线城市,家电零售,687.0,379.8,276.7,52,拒绝,103.10000000000002
RETL-202512-364526,零售行业,天津,新一线城市,家电零售,606.0,857.7,557.3,75,通过,300.4000000000001
RETL-202512-310076,零售行业,广州,一线城市,家电零售,676.0,159.2,101.4,28,通过,57.79999999999998
RETL-202512-372575,零售行业,宁波,二线城市,美妆零售,505.0,682.4,410.9,114,通过,271.5
RETL-202512-575478,零售行业,杭州,新一线城市,便利店,441.0,16.4,11.4,5,通过,4.999999999999998
RETL-202512-735358,零售行业,唐山,三线及以下,文具零售,678.0,301.4,255.3,11,拒绝,46.099999999999966
RETL-202512-534569,零售行业,苏州,新一线城市,服饰零售,676.0,352.2,240.4,12,通过,111.79999999999998
RETL-202512-627348,零售行业,深圳,一线城市,服饰零售,688.0,149.1,123.2,26,通过,25.89999999999999
RETL-202512-567883,零售行业,盐城,三线及以下,文具零售,582.0,942.1,726.7,84,通过,215.39999999999998
RETL-202512-089474,零售行业,厦门,二线城市,服饰零售,533.0,387.9,261.6,26,拒绝,126.29999999999995
RETL-202512-556932,零售行业,苏州,新一线城市,文具零售,441.0,184.2,142.7,30,通过,41.5
RETL-202512-496373,零售行业,成都,新一线城市,生鲜零售,421.0,282.1,190.4,32,通过,91.70000000000002
RETL-202512-040870,零售行业,上海,一线城市,家电零售,480.0,166.2,135.8,44,通过,30.399999999999977
RETL-202512-538400,零售行业,唐山,三线及以下,服饰零售,409.0,361.8,217.4,17,通过,144.4
RETL-202512-669181,零售行业,成都,新一线城市,综合商超,697.0,241.0,166.8,36,通过,74.19999999999999
